Feature,Importance
Inflight wifi service,23.290729904527254
Type of Travel,18.128272251308893
Gate location,8.887049584231594
Customer Type,8.820449645826912
Baggage handling,3.306128734216194
Inflight service,2.6863258392362135
Class,2.602787188173695
Online boarding,2.300585155528175
Checkin service,1.6345857714813627
Seat comfort,1.5294887588543216
Cleanliness,1.1237295965506577
Inflight entertainment,0.8334616569140696
On-board service,0.8242223591007036
Age,0.6186479827533053
Leg room service,0.12858022790267487
Flight Distance,0.09970742223590623
Ease of Online booking,0.08353865106251357
Arrival Delay in Minutes,0.0665999384046756
Departure Delay in Minutes,0.04504157684015464
Departure/Arrival time convenient,0.0435016938712629
Food and drink,-0.021558361564524287
Gender,-0.02887280566677197
